LAO. Theories utility Run: 05/13/2024, 12:04:58
(1331,neg_hon)
(1907,neg_hon)
(1908,neg_hon)
(28,neg_lie)
(67,neg_hon)
(154,neg_lie)
(265,neg_hon)
(440,neg_lie)
(851,neg_hon)
(1343,neg_lie)
(1926,neg_hon)
(1928,neg_hon)



LAO. Theories utility Run: 05/13/2024, 12:04:59
Expanded 404 states
Solution graph has 299 states.
Time taken 0.16264400000000023
Action revisions: 1000

 Lies: 48
 Honest: 155
 Positive: 0
 Negative: 107

(0,neg_lie)
(19,neg_hon)
(22,neg_lie)
(39,neg_hon)
(92,neg_lie)
(165,neg_hon)
(290,neg_lie)
(696,neg_hon)
(1189,neg_lie)
(1533,neg_hon)
(1530,neg_hon)
(1534,neg_hon)
(1532,neg_hon)
(1190,neg_lie)
(1541,neg_hon)
(1538,neg_hon)
(1542,neg_hon)
(1540,neg_hon)
(695,neg_hon)
(1185,neg_hon)
(1559,neg_hon)
(1560,neg_hon)
(1186,neg_lie)
(1566,neg_hon)
(1568,neg_hon)
(291,neg_lie)
(700,neg_hon)
(1202,neg_lie)
(1589,neg_hon)
(1586,neg_hon)
(1590,neg_hon)
(1588,neg_hon)
(699,neg_hon)
(1199,neg_lie)
(1608,neg_hon)
(1610,neg_hon)
(166,neg_hon)
(295,neg_hon)
(713,neg_hon)
(1209,neg_hon)
(1625,neg_hon)
(1626,neg_lie)
(1210,neg_hon)
(1631,neg_hon)
(1632,neg_hon)
(296,neg_lie)
(717,neg_hon)
(1223,neg_lie)
(1650,neg_hon)
(1652,neg_hon)
(93,neg_lie)
(170,neg_hon)
(312,neg_lie)
(731,neg_hon)
(1235,neg_lie)
(1673,neg_hon)
(1670,neg_hon)
(1674,neg_hon)
(1672,neg_hon)
(730,neg_hon)
(1232,neg_lie)
(1692,neg_hon)
(1694,neg_hon)
(171,neg_hon)
(316,neg_lie)
(745,neg_hon)
(1244,neg_lie)
(1710,neg_hon)
(1712,neg_hon)
(40,neg_hon)
(97,neg_hon)
(187,neg_hon)
(325,neg_hon)
(756,neg_lie)
(1253,neg_hon)
(1739,neg_lie)
(1740,neg_lie)
(1252,neg_hon)
(1733,neg_hon)
(1734,neg_lie)
(326,neg_hon)
(759,neg_hon)
(1262,neg_hon)
(1751,neg_hon)
(1752,neg_hon)
(98,neg_lie)
(193,neg_hon)
(352,neg_lie)
(772,neg_hon)
(1274,neg_lie)
(1770,neg_hon)
(1772,neg_hon)
(23,neg_lie)
(44,neg_hon)
(114,neg_lie)
(210,neg_hon)
(368,neg_lie)
(786,neg_hon)
(1286,neg_lie)
(1793,neg_hon)
(1790,neg_hon)
(1794,neg_hon)
(1792,neg_hon)
(785,neg_hon)
(1283,neg_lie)
(1812,neg_hon)
(1814,neg_hon)
(211,neg_hon)
(372,neg_lie)
(800,neg_hon)
(1295,neg_lie)
(1830,neg_hon)
(1832,neg_hon)
(45,neg_hon)
(118,neg_lie)
(229,neg_hon)
(388,neg_lie)
(812,neg_hon)
(1304,neg_lie)
(1848,neg_hon)
(1850,neg_hon)
(20,neg_hon)
(27,neg_hon)
(61,neg_hon)
(127,neg_hon)
(243,neg_lie)
(399,neg_hon)
(829,neg_lie)
(1313,neg_hon)
(1877,neg_lie)
(1878,neg_lie)
(1312,neg_hon)
(1871,neg_lie)
(1872,neg_lie)
(400,neg_hon)
(832,neg_lie)
(1323,neg_hon)
(1895,neg_hon)
(1896,neg_lie)
(128,neg_hon)
(247,neg_hon)
(416,neg_hon)
(838,neg_hon)
(1331,neg_hon)
(1907,neg_hon)
(1908,neg_hon)
(28,neg_lie)
(67,neg_hon)
(154,neg_lie)
(265,neg_hon)
(440,neg_lie)
(851,neg_hon)
(1343,neg_lie)
(1926,neg_hon)
(1928,neg_hon)



LAO. Theories utility Run: 05/13/2024, 12:05:00
Expanded 404 states
Solution graph has 299 states.
Time taken 0.11138899999999996
Action revisions: 1000

 Lies: 48
 Honest: 155
 Positive: 0
 Negative: 107

(0,neg_lie)
(19,neg_hon)
(22,neg_lie)
(39,neg_hon)
(92,neg_lie)
(165,neg_hon)
(290,neg_lie)
(696,neg_hon)
(1189,neg_lie)
(1533,neg_hon)
(1530,neg_hon)
(1534,neg_hon)
(1532,neg_hon)
(1190,neg_lie)
(1541,neg_hon)
(1538,neg_hon)
(1542,neg_hon)
(1540,neg_hon)
(695,neg_hon)
(1185,neg_hon)
(1559,neg_hon)
(1560,neg_hon)
(1186,neg_lie)
(1566,neg_hon)
(1568,neg_hon)
(291,neg_lie)
(700,neg_hon)
(1202,neg_lie)
(1589,neg_hon)
(1586,neg_hon)
(1590,neg_hon)
(1588,neg_hon)
(699,neg_hon)
(1199,neg_lie)
(1608,neg_hon)
(1610,neg_hon)
(166,neg_hon)
(295,neg_hon)
(713,neg_hon)
(1209,neg_hon)
(1625,neg_hon)
(1626,neg_lie)
(1210,neg_hon)
(1631,neg_hon)
(1632,neg_hon)
(296,neg_lie)
(717,neg_hon)
(1223,neg_lie)
(1650,neg_hon)
(1652,neg_hon)
(93,neg_lie)
(170,neg_hon)
(312,neg_lie)
(731,neg_hon)
(1235,neg_lie)
(1673,neg_hon)
(1670,neg_hon)
(1674,neg_hon)
(1672,neg_hon)
(730,neg_hon)
(1232,neg_lie)
(1692,neg_hon)
(1694,neg_hon)
(171,neg_hon)
(316,neg_lie)
(745,neg_hon)
(1244,neg_lie)
(1710,neg_hon)
(1712,neg_hon)
(40,neg_hon)
(97,neg_hon)
(187,neg_hon)
(325,neg_hon)
(756,neg_lie)
(1253,neg_hon)
(1739,neg_lie)
(1740,neg_lie)
(1252,neg_hon)
(1733,neg_hon)
(1734,neg_lie)
(326,neg_hon)
(759,neg_hon)
(1262,neg_hon)
(1751,neg_hon)
(1752,neg_hon)
(98,neg_lie)
(193,neg_hon)
(352,neg_lie)
(772,neg_hon)
(1274,neg_lie)
(1770,neg_hon)
(1772,neg_hon)
(23,neg_lie)
(44,neg_hon)
(114,neg_lie)
(210,neg_hon)
(368,neg_lie)
(786,neg_hon)
(1286,neg_lie)
(1793,neg_hon)
(1790,neg_hon)
(1794,neg_hon)
(1792,neg_hon)
(785,neg_hon)
(1283,neg_lie)
(1812,neg_hon)
(1814,neg_hon)
(211,neg_hon)
(372,neg_lie)
(800,neg_hon)
(1295,neg_lie)
(1830,neg_hon)
(1832,neg_hon)
(45,neg_hon)
(118,neg_lie)
(229,neg_hon)
(388,neg_lie)
(812,neg_hon)
(1304,neg_lie)
(1848,neg_hon)
(1850,neg_hon)
(20,neg_hon)
(27,neg_hon)
(61,neg_hon)
(127,neg_hon)
(243,neg_lie)
(399,neg_hon)
(829,neg_lie)
(1313,neg_hon)
(1877,neg_lie)
(1878,neg_lie)
(1312,neg_hon)
(1871,neg_lie)
(1872,neg_lie)
(400,neg_hon)
(832,neg_lie)
(1323,neg_hon)
(1895,neg_hon)
(1896,neg_lie)
(128,neg_hon)
(247,neg_hon)
(416,neg_hon)
(838,neg_hon)
(1331,neg_hon)
(1907,neg_hon)
(1908,neg_hon)
(28,neg_lie)
(67,neg_hon)
(154,neg_lie)
(265,neg_hon)
(440,neg_lie)
(851,neg_hon)
(1343,neg_lie)
(1926,neg_hon)
(1928,neg_hon)



LAO. Theories utility Run: 05/13/2024, 12:05:01
Expanded 404 states
Solution graph has 299 states.
Time taken 0.20070799999999966
Action revisions: 1000

 Lies: 48
 Honest: 155
 Positive: 0
 Negative: 107

(0,neg_lie)
(19,neg_hon)
(22,neg_lie)
(39,neg_hon)
(92,neg_lie)
(165,neg_hon)
(290,neg_lie)
(696,neg_hon)
(1189,neg_lie)
(1533,neg_hon)
(1530,neg_hon)
(1534,neg_hon)
(1532,neg_hon)
(1190,neg_lie)
(1541,neg_hon)
(1538,neg_hon)
(1542,neg_hon)
(1540,neg_hon)
(695,neg_hon)
(1185,neg_hon)
(1559,neg_hon)
(1560,neg_hon)
(1186,neg_lie)
(1566,neg_hon)
(1568,neg_hon)
(291,neg_lie)
(700,neg_hon)
(1202,neg_lie)
(1589,neg_hon)
(1586,neg_hon)
(1590,neg_hon)
(1588,neg_hon)
(699,neg_hon)
(1199,neg_lie)
(1608,neg_hon)
(1610,neg_hon)
(166,neg_hon)
(295,neg_hon)
(713,neg_hon)
(1209,neg_hon)
(1625,neg_hon)
(1626,neg_lie)
(1210,neg_hon)
(1631,neg_hon)
(1632,neg_hon)
(296,neg_lie)
(717,neg_hon)
(1223,neg_lie)
(1650,neg_hon)
(1652,neg_hon)
(93,neg_lie)
(170,neg_hon)
(312,neg_lie)
(731,neg_hon)
(1235,neg_lie)
(1673,neg_hon)
(1670,neg_hon)
(1674,neg_hon)
(1672,neg_hon)
(730,neg_hon)
(1232,neg_lie)
(1692,neg_hon)
(1694,neg_hon)
(171,neg_hon)
(316,neg_lie)
(745,neg_hon)
(1244,neg_lie)
(1710,neg_hon)
(1712,neg_hon)
(40,neg_hon)
(97,neg_hon)
(187,neg_hon)
(325,neg_hon)
(756,neg_lie)
(1253,neg_hon)
(1739,neg_lie)
(1740,neg_lie)
(1252,neg_hon)
(1733,neg_hon)
(1734,neg_lie)
(326,neg_hon)
(759,neg_hon)
(1262,neg_hon)
(1751,neg_hon)
(1752,neg_hon)
(98,neg_lie)
(193,neg_hon)
(352,neg_lie)
(772,neg_hon)
(1274,neg_lie)
(1770,neg_hon)
(1772,neg_hon)
(23,neg_lie)
(44,neg_hon)
(114,neg_lie)
(210,neg_hon)
(368,neg_lie)
(786,neg_hon)
(1286,neg_lie)
(1793,neg_hon)
(1790,neg_hon)
(1794,neg_hon)
(1792,neg_hon)
(785,neg_hon)
(1283,neg_lie)
(1812,neg_hon)
(1814,neg_hon)
(211,neg_hon)
(372,neg_lie)
(800,neg_hon)
(1295,neg_lie)
(1830,neg_hon)
(1832,neg_hon)
(45,neg_hon)
(118,neg_lie)
(229,neg_hon)
(388,neg_lie)
(812,neg_hon)
(1304,neg_lie)
(1848,neg_hon)
(1850,neg_hon)
(20,neg_hon)
(27,neg_hon)
(61,neg_hon)
(127,neg_hon)
(243,neg_lie)
(399,neg_hon)
(829,neg_lie)
(1313,neg_hon)
(1877,neg_lie)
(1878,neg_lie)
(1312,neg_hon)
(1871,neg_lie)
(1872,neg_lie)
(400,neg_hon)
(832,neg_lie)
(1323,neg_hon)
(1895,neg_hon)
(1896,neg_lie)
(128,neg_hon)
(247,neg_hon)
(416,neg_hon)
(838,neg_hon)
(1331,neg_hon)
(1907,neg_hon)
(1908,neg_hon)
(28,neg_lie)
(67,neg_hon)
(154,neg_lie)
(265,neg_hon)
(440,neg_lie)
(851,neg_hon)
(1343,neg_lie)
(1926,neg_hon)
(1928,neg_hon)



LAO. Theories utility Run: 05/13/2024, 12:05:02
Expanded 404 states
Solution graph has 299 states.
Time taken 0.202944
Action revisions: 1000

 Lies: 48
 Honest: 155
 Positive: 0
 Negative: 107

(0,neg_lie)
(19,neg_hon)
(22,neg_lie)
(39,neg_hon)
(92,neg_lie)
(165,neg_hon)
(290,neg_lie)
(696,neg_hon)
(1189,neg_lie)
(1533,neg_hon)
(1530,neg_hon)
(1534,neg_hon)
(1532,neg_hon)
(1190,neg_lie)
(1541,neg_hon)
(1538,neg_hon)
(1542,neg_hon)
(1540,neg_hon)
(695,neg_hon)
(1185,neg_hon)
(1559,neg_hon)
(1560,neg_hon)
(1186,neg_lie)
(1566,neg_hon)
(1568,neg_hon)
(291,neg_lie)
(700,neg_hon)
(1202,neg_lie)
(1589,neg_hon)
(1586,neg_hon)
(1590,neg_hon)
(1588,neg_hon)
(699,neg_hon)
(1199,neg_lie)
(1608,neg_hon)
(1610,neg_hon)
(166,neg_hon)
(295,neg_hon)
(713,neg_hon)
(1209,neg_hon)
(1625,neg_hon)
(1626,neg_lie)
(1210,neg_hon)
(1631,neg_hon)
(1632,neg_hon)
(296,neg_lie)
(717,neg_hon)
(1223,neg_lie)
(1650,neg_hon)
(1652,neg_hon)
(93,neg_lie)
(170,neg_hon)
(312,neg_lie)
(731,neg_hon)
(1235,neg_lie)
(1673,neg_hon)
(1670,neg_hon)
(1674,neg_hon)
(1672,neg_hon)
(730,neg_hon)
(1232,neg_lie)
(1692,neg_hon)
(1694,neg_hon)
(171,neg_hon)
(316,neg_lie)
(745,neg_hon)
(1244,neg_lie)
(1710,neg_hon)
(1712,neg_hon)
(40,neg_hon)
(97,neg_hon)
(187,neg_hon)
(325,neg_hon)
(756,neg_lie)
(1253,neg_hon)
(1739,neg_lie)
(1740,neg_lie)
(1252,neg_hon)
(1733,neg_hon)
(1734,neg_lie)
(326,neg_hon)
(759,neg_hon)
(1262,neg_hon)
(1751,neg_hon)
(1752,neg_hon)
(98,neg_lie)
(193,neg_hon)
(352,neg_lie)
(772,neg_hon)
(1274,neg_lie)
(1770,neg_hon)
(1772,neg_hon)
(23,neg_lie)
(44,neg_hon)
(114,neg_lie)
(210,neg_hon)
(368,neg_lie)
(786,neg_hon)
(1286,neg_lie)
(1793,neg_hon)
(1790,neg_hon)
(1794,neg_hon)
(1792,neg_hon)
(785,neg_hon)
(1283,neg_lie)
(1812,neg_hon)
(1814,neg_hon)
(211,neg_hon)
(372,neg_lie)
(800,neg_hon)
(1295,neg_lie)
(1830,neg_hon)
(1832,neg_hon)
(45,neg_hon)
(118,neg_lie)
(229,neg_hon)
(388,neg_lie)
(812,neg_hon)
(1304,neg_lie)
(1848,neg_hon)
(1850,neg_hon)
(20,neg_hon)
(27,neg_hon)
(61,neg_hon)
(127,neg_hon)
(243,neg_lie)
(399,neg_hon)
(829,neg_lie)
(1313,neg_hon)
(1877,neg_lie)
(1878,neg_lie)
(1312,neg_hon)
(1871,neg_lie)
(1872,neg_lie)
(400,neg_hon)
(832,neg_lie)
(1323,neg_hon)
(1895,neg_hon)
(1896,neg_lie)
(128,neg_hon)
(247,neg_hon)
(416,neg_hon)
(838,neg_hon)
(1331,neg_hon)
(1907,neg_hon)
(1908,neg_hon)
(28,neg_lie)
(67,neg_hon)
(154,neg_lie)
(265,neg_hon)
(440,neg_lie)
(851,neg_hon)
(1343,neg_lie)
(1926,neg_hon)
(1928,neg_hon)



LAO. Theories wellbeing Run: 05/13/2024, 12:05:03
Expanded 1036 states
Solution graph has 423 states.
Time taken 0.4580009999999999
Action revisions: 13946

 Lies: 101
 Honest: 21
 Positive: 129
 Negative: 49

(0,pos_hon)
(7,pos_lie)
(12,pos_hon)
(47,pos_lie)
(79,neg_lie)
(149,neg_hon)
(224,pos_hon)
(2864,pos_lie)
(4737,standard)
(4813,standard)
(4814,standard)
(3130,neg_lie)
(3451,pos_lie)
(659,pos_lie)
(3452,pos_lie)
(661,pos_lie)
(346,pos_lie)
(2737,pos_hon)
(4106,standard)
(2930,standard)
(4107,standard)
(2932,standard)
(477,pos_hon)
(2882,pos_lie)
(2883,pos_lie)
(225,pos_hon)
(2866,pos_lie)
(3132,standard)
(3457,standard)
(3458,standard)
(3131,neg_lie)
(3455,pos_lie)
(667,pos_lie)
(3456,pos_lie)
(669,pos_lie)
(350,pos_lie)
(479,pos_hon)
(2890,standard)
(673,standard)
(2891,standard)
(675,standard)
(478,pos_hon)
(2886,pos_lie)
(2887,pos_lie)
(150,neg_hon)
(228,pos_lie)
(348,pos_lie)
(2648,standard)
(2928,standard)
(2929,standard)
(474,standard)
(611,pos_lie)
(612,pos_lie)
(347,pos_lie)
(2650,pos_lie)
(2934,standard)
(2931,standard)
(2935,standard)
(2933,standard)
(480,pos_lie)
(663,pos_lie)
(660,pos_lie)
(664,pos_lie)
(662,pos_lie)
(229,pos_hon)
(349,pos_lie)
(476,standard)
(623,standard)
(624,standard)
(475,standard)
(615,pos_lie)
(616,pos_lie)
(351,pos_lie)
(482,pos_hon)
(671,standard)
(674,standard)
(672,standard)
(676,standard)
(481,pos_hon)
(665,pos_lie)
(668,pos_lie)
(666,pos_lie)
(670,pos_lie)
(80,neg_lie)
(153,pos_lie)
(226,neg_lie)
(2869,neg_hon)
(3133,pos_hon)
(2884,pos_lie)
(2885,pos_lie)
(3134,pos_hon)
(2888,pos_lie)
(2889,pos_lie)
(361,neg_hon)
(494,pos_hon)
(681,pos_lie)
(683,pos_lie)
(495,pos_hon)
(685,pos_lie)
(687,pos_lie)
(154,pos_lie)
(230,pos_hon)
(352,neg_hon)
(354,neg_hon)
(48,pos_lie)
(84,pos_hon)
(148,neg_hon)
(220,neg_hon)
(221,neg_lie)
(85,pos_hon)
(152,pos_lie)
(222,neg_lie)
(353,neg_hon)
(13,pos_hon)
(52,pos_lie)
(78,neg_lie)
(145,pos_lie)
(239,pos_hon)
(2876,pos_lie)
(3137,neg_lie)
(3471,pos_lie)
(707,pos_lie)
(3472,pos_lie)
(709,pos_lie)
(370,pos_lie)
(488,pos_hon)
(2910,pos_lie)
(2911,pos_lie)
(146,pos_lie)
(242,pos_hon)
(369,pos_lie)
(486,standard)
(647,pos_lie)
(648,pos_lie)
(371,pos_lie)
(490,pos_hon)
(705,pos_lie)
(708,pos_lie)
(706,pos_lie)
(710,pos_lie)
(53,pos_lie)
(83,neg_lie)
(162,pos_lie)
(249,pos_hon)
(359,pos_lie)
(496,pos_hon)
(689,standard)
(691,standard)
(260,pos_hon)
(376,pos_lie)
(503,pos_hon)
(719,pos_lie)
(721,pos_lie)
(163,pos_lie)
(253,pos_hon)
(360,pos_lie)
(499,pos_hon)
(690,standard)
(692,standard)
(498,pos_hon)
(686,pos_lie)
(688,pos_lie)
(263,pos_hon)
(377,pos_lie)
(505,pos_hon)
(720,pos_lie)
(722,pos_lie)
(8,pos_lie)
(17,pos_hon)
(50,pos_lie)
(94,pos_hon)
(166,neg_hon)
(252,pos_lie)
(358,pos_lie)
(2646,pos_lie)
(2945,standard)
(2947,standard)
(497,pos_lie)
(682,pos_lie)
(684,pos_lie)
(95,pos_hon)
(169,pos_lie)
(254,pos_hon)
(362,neg_hon)
(18,pos_hon)
(55,pos_lie)
(93,pos_hon)



LAO. Theories wellbeing Run: 05/13/2024, 12:05:04
Expanded 1036 states
Solution graph has 423 states.
Time taken 0.44621900000000014
Action revisions: 13946

 Lies: 101
 Honest: 21
 Positive: 129
 Negative: 49

(0,pos_hon)
(7,pos_lie)
(12,pos_hon)
(47,pos_lie)
(79,neg_lie)
(149,neg_hon)
(224,pos_hon)
(2864,pos_lie)
(4737,standard)
(4813,standard)
(4814,standard)
(3130,neg_lie)
(3451,pos_lie)
(659,pos_lie)
(3452,pos_lie)
(661,pos_lie)
(346,pos_lie)
(2737,pos_hon)
(4106,standard)
(2930,standard)
(4107,standard)
(2932,standard)
(477,pos_hon)
(2882,pos_lie)
(2883,pos_lie)
(225,pos_hon)
(2866,pos_lie)
(3132,standard)
(3457,standard)
(3458,standard)
(3131,neg_lie)
(3455,pos_lie)
(667,pos_lie)
(3456,pos_lie)
(669,pos_lie)
(350,pos_lie)
(479,pos_hon)
(2890,standard)
(673,standard)
(2891,standard)
(675,standard)
(478,pos_hon)
(2886,pos_lie)
(2887,pos_lie)
(150,neg_hon)
(228,pos_lie)
(348,pos_lie)
(2648,standard)
(2928,standard)
(2929,standard)
(474,standard)
(611,pos_lie)
(612,pos_lie)
(347,pos_lie)
(2650,pos_lie)
(2934,standard)
(2931,standard)
(2935,standard)
(2933,standard)
(480,pos_lie)
(663,pos_lie)
(660,pos_lie)
(664,pos_lie)
(662,pos_lie)
(229,pos_hon)
(349,pos_lie)
(476,standard)
(623,standard)
(624,standard)
(475,standard)
(615,pos_lie)
(616,pos_lie)
(351,pos_lie)
(482,pos_hon)
(671,standard)
(674,standard)
(672,standard)
(676,standard)
(481,pos_hon)
(665,pos_lie)
(668,pos_lie)
(666,pos_lie)
(670,pos_lie)
(80,neg_lie)
(153,pos_lie)
(226,neg_lie)
(2869,neg_hon)
(3133,pos_hon)
(2884,pos_lie)
(2885,pos_lie)
(3134,pos_hon)
(2888,pos_lie)
(2889,pos_lie)
(361,neg_hon)
(494,pos_hon)
(681,pos_lie)
(683,pos_lie)
(495,pos_hon)
(685,pos_lie)
(687,pos_lie)
(154,pos_lie)
(230,pos_hon)
(352,neg_hon)
(354,neg_hon)
(48,pos_lie)
(84,pos_hon)
(148,neg_hon)
(220,neg_hon)
(221,neg_lie)
(85,pos_hon)
(152,pos_lie)
(222,neg_lie)
(353,neg_hon)
(13,pos_hon)
(52,pos_lie)
(78,neg_lie)
(145,pos_lie)
(239,pos_hon)
(2876,pos_lie)
(3137,neg_lie)
(3471,pos_lie)
(707,pos_lie)
(3472,pos_lie)
(709,pos_lie)
(370,pos_lie)
(488,pos_hon)
(2910,pos_lie)
(2911,pos_lie)
(146,pos_lie)
(242,pos_hon)
(369,pos_lie)
(486,standard)
(647,pos_lie)
(648,pos_lie)
(371,pos_lie)
(490,pos_hon)
(705,pos_lie)
(708,pos_lie)
(706,pos_lie)
(710,pos_lie)
(53,pos_lie)
(83,neg_lie)
(162,pos_lie)
(249,pos_hon)
(359,pos_lie)
(496,pos_hon)
(689,standard)
(691,standard)
(260,pos_hon)
(376,pos_lie)
(503,pos_hon)
(719,pos_lie)
(721,pos_lie)
(163,pos_lie)
(253,pos_hon)
(360,pos_lie)
(499,pos_hon)
(690,standard)
(692,standard)
(498,pos_hon)
(686,pos_lie)
(688,pos_lie)
(263,pos_hon)
(377,pos_lie)
(505,pos_hon)
(720,pos_lie)
(722,pos_lie)
(8,pos_lie)
(17,pos_hon)
(50,pos_lie)
(94,pos_hon)
(166,neg_hon)
(252,pos_lie)
(358,pos_lie)
(2646,pos_lie)
(2945,standard)
(2947,standard)
(497,pos_lie)
(682,pos_lie)
(684,pos_lie)
(95,pos_hon)
(169,pos_lie)
(254,pos_hon)
(362,neg_hon)
(18,pos_hon)
(55,pos_lie)
(93,pos_hon)



LAO. Theories wellbeing Run: 05/13/2024, 12:05:05
Expanded 1036 states
Solution graph has 423 states.
Time taken 0.46040599999999987
Action revisions: 13946

 Lies: 101
 Honest: 21
 Positive: 129
 Negative: 49

(0,pos_hon)
(7,pos_lie)
(12,pos_hon)
(47,pos_lie)
(79,neg_lie)
(149,neg_hon)
(224,pos_hon)
(2864,pos_lie)
(4737,standard)
(4813,standard)
(4814,standard)
(3130,neg_lie)
(3451,pos_lie)
(659,pos_lie)
(3452,pos_lie)
(661,pos_lie)
(346,pos_lie)
(2737,pos_hon)
(4106,standard)
(2930,standard)
(4107,standard)
(2932,standard)
(477,pos_hon)
(2882,pos_lie)
(2883,pos_lie)
(225,pos_hon)
(2866,pos_lie)
(3132,standard)
(3457,standard)
(3458,standard)
(3131,neg_lie)
(3455,pos_lie)
(667,pos_lie)
(3456,pos_lie)
(669,pos_lie)
(350,pos_lie)
(479,pos_hon)
(2890,standard)
(673,standard)
(2891,standard)
(675,standard)
(478,pos_hon)
(2886,pos_lie)
(2887,pos_lie)
(150,neg_hon)
(228,pos_lie)
(348,pos_lie)
(2648,standard)
(2928,standard)
(2929,standard)
(474,standard)
(611,pos_lie)
(612,pos_lie)
(347,pos_lie)
(2650,pos_lie)
(2934,standard)
(2931,standard)
(2935,standard)
(2933,standard)
(480,pos_lie)
(663,pos_lie)
(660,pos_lie)
(664,pos_lie)
(662,pos_lie)
(229,pos_hon)
(349,pos_lie)
(476,standard)
(623,standard)
(624,standard)
(475,standard)
(615,pos_lie)
(616,pos_lie)
(351,pos_lie)
(482,pos_hon)
(671,standard)
(674,standard)
(672,standard)
(676,standard)
(481,pos_hon)
(665,pos_lie)
(668,pos_lie)
(666,pos_lie)
(670,pos_lie)
(80,neg_lie)
(153,pos_lie)
(226,neg_lie)
(2869,neg_hon)
(3133,pos_hon)
(2884,pos_lie)
(2885,pos_lie)
(3134,pos_hon)
(2888,pos_lie)
(2889,pos_lie)
(361,neg_hon)
(494,pos_hon)
(681,pos_lie)
(683,pos_lie)
(495,pos_hon)
(685,pos_lie)
(687,pos_lie)
(154,pos_lie)
(230,pos_hon)
(352,neg_hon)
(354,neg_hon)
(48,pos_lie)
(84,pos_hon)
(148,neg_hon)
(220,neg_hon)
(221,neg_lie)
(85,pos_hon)
(152,pos_lie)
(222,neg_lie)
(353,neg_hon)
(13,pos_hon)
(52,pos_lie)
(78,neg_lie)
(145,pos_lie)
(239,pos_hon)
(2876,pos_lie)
(3137,neg_lie)
(3471,pos_lie)
(707,pos_lie)
(3472,pos_lie)
(709,pos_lie)
(370,pos_lie)
(488,pos_hon)
(2910,pos_lie)
(2911,pos_lie)
(146,pos_lie)
(242,pos_hon)
(369,pos_lie)
(486,standard)
(647,pos_lie)
(648,pos_lie)
(371,pos_lie)
